titre_comm	comm	loc	note	photo
Inacceptable	Lors de la réservation j avais demandé des chambres communicantes l agent de resa m a dit que ce n était pas possible car j avais réservé une chambre supérieure et une chambre supérieure vue jardin (plus cher). Elle m a confirmé que si je prenais deux chambres supérieures vue jardin ce serait possible ce que j ai fait. A l arrivée quelle fut ma déception quand je me suis aperçue que je n avais pas de chambres communicantes. De plus une des deux chambres n avait pas accès à la télé.dans l autre il manquait le robinet d eau chaude. Nous avons dû appeler le service technique à 22h qui a dû intervenir 3 fois. Résultat à 7h c était toujours le même problème le robinet d eau chaude tournait dans le vide. Enfin dans l une des deux chambres il y avait des macarons et pas dans l autre…	Paris, France	bubble_10	yes
MARVELIFIQUE !	"Petits soucis avec mon Magic Pass où il manquait deux coupons repas  inclus dans la pension complète. Perte de temps à la réception ou j'ai du y retourner 2 fois car le personnel ne comprenait vraisemblablement pas très bien le principe des Voucher ""pension complète"" pour deux personnes sur deux jours, ce qui fait entre autres 8 repas et non 6.  La chambre très agréable, bien qu'il manquait les peignoirs et les chaussons qu'il a fallu réclamer.  La boutique, la conciergerie et l'ensemble du personnel sont très accueillants et bienveillants dans l'ensemble. Magnifique piscine pour se détendre, accueil sympathique. Le + étant le restaurant Manhattan, malgré l'attente trop longue à l'entrée le soir, cadre magnifique, nourriture italienne raffinée, personnel pro. Les petits…"	Paris, France	bubble_40	yes
Évitez d'être au dessus des restaurants	Hôtel situé à 10 min à pied des parcs Disney et Studio.  Il est magnifiquement décoré,le personnel est chaleureux, les chambres propres et spatieuses. Les enfants ont adoré. Gros bémol, les chambres situées au dessus des restaurants sont mal insonorisées, les bruits de chaises dès 7h sont horribles.	Villiers-sur-Marne, France	bubble_40	no
Deception	Bonjour Un peu déçue par l'hôtel qui est je trouve froid  Le personnel était également froid  Je suis allée dans deux autres hôtels à Disney  et ils étaient beaucoup plus chaleureux et cosy  La chambre était bruyante bruits de chaises de pas donc mal insonorisée Dommage pour nous  	None	bubble_30	no
Ne mérite pas ses 4 étoiles 	Hôtel refait à neuf et pourtant déjà en si mauvais état. Le miroir de la salle de bain tombe en ruine, les montants de porte cassés, la vitre de la fenêtre brisée, la télé et le téléphone en panne. Le lit parapluie demande par mail oublié à notre arrivée. nous avons du attendre 1 heure pour en récupérer un. Il était 23h30 quand nous vous pu coucher notre bébé.Les lits sont des 140 cm seulement. Comment cela est il possible dans un 4 étoiles ? Nous attendons encore les petites attentions promises pour nos 3 enfants. Petit déjeuner excellent. Nous avons eu à faire des jeunes femmes très aimables à l accueil et au petit déjeuner mais fort désagréable à la conciergerie. Si vous n aimez pas votre travail changez en. Bref un établissement qui ne vaut ses 4 étoiles que par le tarif.	None	bubble_30	yes
La déco et le lieu est magique	Venant moi même de l’hôtellerie, j’admets que j’avais particulièrement hâte de ce séjour!  L’équipe de réception et de conciergerie est au top, surtout avec une demande aussi importante.  Quelques petits détails sur la chambre assez étonnant (savons pas recharger et cheveux dans la salle de bain), mais au nombre de chambres par étages c’est vraiment du détail.  Surtout quand tout le reste était extrêmement propre !!	Paris, France	bubble_40	yes
Séjour professionnel, septembre octobre 2022	Après 3 semaines de séjour, c'est sans doute l'hotel au meilleur rapport qualité prix à Mariveles. Style moderne. Chambre et salle de bain spacieuses. Un personnel adorable et toujours serviable. Le restaurant est sympa. L'hotel est principalement fréquenté par des clients en séjour professionel. Points négatifs: - Manque d'armoire de rangement dans les chambres. - Clim un peu insuffisante dans les chambres de l'étage supérieur, surtout les jours de forte chaleur.  J'y retourne très bientôt, avec grand plaisir.  Michael L.	None	bubble_40	no
Escapade en amoureux	Accueil très   chaleureux.   personnel souriant aux petits soins. La chambre est très belle avec une grande terrasse agréable avec salon de jardin pour se poser. ,Le petit déjeuner est  copieux. Endroit calme et paisible. Un grand merci à toute k équipe	None	bubble_50	no
Incroyable décoration mêlant l'ambiance architecturale new-yorkaise et l'univers MARVEL	"Deux jours une nuit à Disney. Hôtel magnifique à l'intérieur. Entièrement rénové et décoré à la perfection! Logement en suite Avengers pour 5 personnes. Suite extrêmement spacieuse et comfortable. Salle de bain au top. Goodies offerts dans la chambre : champagne + peluches, sacs à dos, gourdes pour les kids... et clés de l'hôtel pour les parents. Les chambres sont très confortables et hyper propres. Le plus après une journée dans le parc, la piscine intérieure / extérieure super belle, propre et surveillée. Serviettes fournies. Déjeuner top pour les clients ""club"". Restaurant de l'hôtel aux prix prohibitifs le soir. A recommander mais budget élevé."	Bruxelles, Belgique	bubble_50	no
bien mais peut mieux faire.	globalement c'est bien mais des choses a revoir. L'hôtel est beau. Les chambres sont grandes, la salle de bain par contre un peu petite et il manque un chauffe-serviette et une brosse wc (et les finitions de peinture sont moyens). il est dommage à la boutique de retrouver beaucoup de choses identique au parc. ça manque aussi d'un petit stand de gourmandises sur le thème du parc. il faudrait proposer des chambres standards avec 1 seul lit, ce serait mieux quand on est seul. Par contre que l'hôtel possède des chambres pmr est normal mais ne les donner pas à des personnes valides, au prix du séjour c'est vraiment inadmissible, heureusement que j'ai pu changer et avoir une vraie chambre.	Villeurbanne, France	bubble_30	no
Très bon séjour 	Nous avons séjourné 2 nuits à l'hôtel Disney's New York Marvel et nous avons été satisfaits de notre séjour.  L'hôtel est magnifique et très bien rénové. Les chambres sont modernes, fonctionnelles, très bien décorées.  Point négatif cependant, nous étions au troisième étage et entendions le bruit du restaurant qui se trouve au rez-de-chaussée. C'est assez désagréable, surtout que cela dur toute la journée et surtout jusqu'à 2 voir 3h du matin et que cela reprend à 7h.  Nous en avons fait part à la réception, qui nous a proposé de nous changer de chambre pour une catégorie supérieure étant donné que l'hôtel était complet à cette période. Comme il était déjà tard et que notre fils était sur le point de se coucher, nous avons décliné la proposition. Il nous a alors été offert un…	Nyon, Suisse	bubble_40	no
très belle déco Marvel	très bon accueil à la réception où on a pu récupérer nos Magic pass ( carte d'accès à la chambre et aux deux parcs ). Hôtel ayant pris un sérieux coup de jeune avec la thématisation Marvel ( de nombreux tableaux , un accès privilégié pour des photos avec les héros , un bar Sky line très sympa  avec son écran géant animé ). La chambre joliment décorée et feutrée, écran TV géant , twins bed très confortables, sdb un peu petite mais ça va...) . Pdj bon et varié ( tout en self même les boissons chaudes ). l'Hôtel est raccord avec l'Avengers Campus,  à eux deux ils nous ont fait vivre une nouvelle expérience à Disneyland Paris.   	La Réunion	bubble_40	no
La magie de disney	C’est un pur bonheur. La chambre est propre, le personnel attentionné. Il a y des détails attentionnés dans la chambre.  La proximité entre l’hôtel et le parc est un plus. Nous avons pu rencontrer Spiderman dans l’hôtel. Mention spéciale pour le bar de l’hôtel qui vaut le détour, les enfants sont émerveillés.	Vence, France	bubble_50	yes
Anniversaire 🎂 🎁 de notre fils	Pour les 12 ans de notre fils nous sommes partis 4 jours à l'hôtel Disney Marvel New York.  C est la troisième fois que nous venons et à chaque fois nous sommes émerveillés !!! Très bel hôtel, la conciergerie avait préparé l anniversaire 🎂 de notre fils sur le thème de Spiderman, c était magnifique !! L arrivée du gâteau sur un chariot avec ballon et jouet , notre fils était aux anges !! Nous reviendrons pour Noël car la décoration pour les fêtes est sublime.	None	bubble_50	yes
Allez y très vite !	Séjour pour fêter les trente ans de mon Fils. Un vrai rêve ! Tout étais parfais. Propreté irréprochable de la chambre, literie confortable, salle de bain spacieuse et fonctionnelle. La cerise sur la chantilly est la gentillesse, et le professionnalisme du personnel, que nous remercions sincèrement. Nous n'avons qu'un hâte, y retourner !	None	bubble_50	no
Belle Hotel, mais gros soucis,...	Nous venons de passer le weekend avec une nuitée et accès aux 2 pars.  afin de pouvoir faire la surprise à notre fils de 9 ans, fan des supers héros, nous avons débourser la somme qu'il fallait pour pouvoir loger au New York Hotel qui d'après leur site, permettait la rencontre de supers héros.  Autrefois, lors des petits déjeuner, nous pouvions bénéficier de la rencontre de plusieurs personnages Disney, mais le COVID est une très bonne excuse pour en faire moins.  Résultat des courses, en logeant dans ce nouvel hotel certes avec un design soigné, nous n'avons pu voir qu'un seul héro uniquement moyennant prise d'un rendez-vous via l'application et selon les tranches horaires encore disponible soit 15h45 ce qui implique de devoir quitté le parc prématurément pour revenir à l'hotel…	None	bubble_40	no
Très dessus	Au prix de la nuit et vue  l'état de la chambre passait votre chemin . Même pas une excuse lors de notre réclamation , on a attendu 1h pour au final ne pas voir de personnels venir nettoyage nous avons descendre avec notre fils de 5ans et nos affaires pour que quelqu'un fasse le nécessaire et la ce jour ,alors que nous ne sommes plus la on nous offre un repas c'est une blague .vue l'état de la chambre 4* je n'ose pas imaginer l'état des cuisine . Disneyland Paris fini pour nous et on fera une très bonne pub pour votre hôtel	None	bubble_10	yes
Génial	Un séjour magique dans cet hôtel flambant neuf , chambre très confortable, spacieuse. Une piscine magnifique. Le personnel est au petit soin . Un club dessin junior superbe. Bref un séjour inoubliable ! L hotel est à côté du village disney et très pres des parcs . Je recommande à 100%	Meze, France	bubble_50	yes
Magique!	Cadre féerique, digne d'un film. Dépaysement garantie! Un séjour des plus magique dans cet hôtel incroyable. Propreté et calme au rendez-vous, vu incroyable sur l'extérieur. Confort inégalable et services à la personne au top. Je recommande vivement ! Petit bémol, le temps accessible à la chambre n'excédant pas 20h pour un séjour de deux jours. 	Metz, France	bubble_50	yes
Séjour magique dans un suite Spider Man	Pour notre première fois à Disneyland nous avons séjourné 2 nuits en famille dans une suite Spider Man. La suite est magnifique, très élégante, décorée avec goût et fidèle à son thème. La literie est plus que confortable aussi bien pour les parents que les enfants. Il y a deux salles de bains avec tout le nécessaire. Les enfants ont reçus plusieurs cadeaux dans la chambre.  Le personnel est aux petits soins, à la réception qui a fait des miracles pour nous trouver une place à l’auberge de Cendrillon et au restaurant Manhattan. Je contredis d’ailleurs un des commentaires précédents, nos trois enfants ont adoré aussi bien le restaurant que les petits déjeuners et goûters. Ils ont mangé entre autre des lasagnes, de la glace, salade de fruit. Tout est de qualité, frais, présenté…	Riedisheim, France	bubble_50	no
Magnifique	Tout était magnifique, merci mille fois.  Nous séjournions en suite super héros, empire State club.  Les points positifs :  - l’accueil personnalisé en petit lounge privé  - la suite incroyable, parfaitement propre, hyper moderne, truffée de petites attentions, notamment pour les enfants qui ont adoré leurs cadeaux. - trés bon petit déjeuner, le service irréprochable  - l’espacé piscine est magnifique, parfaitement propre, agréable et très sécurisé  - mention spéciale pour les pâtisseries du goûter au lounge empire State club, elles étaient absolument délicieuses !  LE point négatif :  Absence de saumon au petit déjeuner, ce qui devrait être la base pour les personnes ne mangeant pas de viande.   Encore merci pour ce séjour incroyable, on a hâte de revenir.	None	bubble_50	no
Un peu trop cher	Hôtel joliment rénové, les chambres sont très agréables, la salle de bain est vieillotte, dommage... En ce qui concerne le petit déjeuner nous étions dans une salle sans fenêtres qui ressemblait plus à un réfectoire qu'autre chose... Pour le prix, ce n'est pas au niveau d'un quatre étoiles qui est bien trop élevé, même si nous sommes à Disney ! Nous préférons séjourner au Newport bay, même si il est plus loin. 	Bordeaux, France	bubble_30	no
Fabuleux !	Nous avons passé trois jours fantastiques Hôtel à la hauteur de nos attentes Service exceptionnel chambres superbes, mais surtout le plus important le personnel d’une efficacité redoutable et d’un professionnalisme extra rien à redire tout était exceptionnel	None	bubble_50	yes
Séjour	Toppppppp c'est un hôtel exceptionnelle rien a dire la bouffe l'accueil la literie top rien à dire c'est vraiment l'énorme je vous jure a ne pas râté surtout la déco le petit déjeuner l'emplacement le service et surtout l'hygiène 10 sur 10 bravo a vous	None	bubble_50	yes
Hotel superbe après travaux  empire state club mais services et organisations à revoir	Nous avons été au art of Marvel le 24 octobre comme en chambre avec vue lac et étage privatif la réception est à part moins d attente sauf que pour notre séjour les debuts ont été chaotiques nous avons été directement dans le parc histoire de ne pas perdre de temps nous sommes donc revenus à l hôtel pour 15h et la le calvaire commence nous attendons plus d 1 h30 notre chambre n est pas prête nous sommes la comme des idiots au bout d une heure 30 ont nous propose une chambre d attente standard pour nous rendre a la piscine sauf que nous n'avons pas la clés de chambre résultat nous sommes enfermés sans pouvoir faire quoi que se soit et la je craque je me rends au bureau privé et j explose c est honteux au prix du séjour nous sommes à  l hôtel, pas de chambre pas d attraction pas…	France	bubble_30	yes
Très confortable 	Chambres d'un confort parfait, décoration superbe, stylée, piscine agréable, accès en 5 min par le village et personnel très souriant et pro. Vu la fréquentation absurde du parc de 11h à 17h: la pause à l'hôtel est bienvenue pour gérer sa journée au mieux.  	None	bubble_50	no
Absolument  fantastique	Wahoo !!!!! Il est superbe !! La décoration est fantastique.  Il y a des détails partout,  des affiches, des objets... c'était splendide !! La chambre classique est déjà  splendide.  Je n'imagine pas les chambres supérieures !! Tout est beau. Le personnel est adorable et les demandes sont toujours prises en compte rapidement.  Nous rêvons déjà d'y retourner !! La piscine est agréable,  surtout après une longue journée sur les parcs.  Le petit déjeuner est gargantuesque et d'assez bonne qualité.  A faire et à  refaire,  encore plus pour les fans marvel	Bonneville, France	bubble_50	no
Un hôtel de Super-Héros !	De la qualité à tous les étages : chambres, accueil, personnel, nourriture, petit-déjeuner. Propreté, gentillesse, choix, fluidité. Typiquement ce que l’on attend de l’hôtel lorsque nous réservons un séjour à Disneyland Paris. Un sans-faute. Le prix est certainement élevé par rapport à d’autres hôtels du resort mais le surplus en vaut la peine.	Monaco	bubble_50	no
Le luxe façon Marvel	L’hôtel New-York, the Art of Marvel est un régal pour les yeux : les amateurs de de super-héros pourront découvrir une multitude d’œuvres à travers différents styles et artistes. L’architecture rappelle celle de New-York avec ses grands volumes. Les chambres sont spacieuses, propres et lumineuses. Les services sont impeccables : le personnel se plie en 4 afin de vous satisfaire. L’Empire State Lounge (pour les personnes séjournant à l’Empire State Club) offre un endroit calme et reposant pour déjeuner, goûter ou simplement faire une pause pendant la journée. La piscine est grande, profonde, propre et bien surveillée. Sans y séjourner, une simple visite du bâtiment en vaut la peine.	None	bubble_50	yes
Magique 	Merci à toute l'équipe de cet hôtel. Tout le monde est très serviable. Séjour magique. De toute évidence nous reviendrons. Chambre propre et thématisé, confort optimal. Toutes les œuvres sont statiques , dommage de ne pas avoir croisé quelques super héros en dehors de la station photo. Un grand merci !	None	bubble_50	no
Superbe	Hôtel superbe.personnel très courtois et souriant Chambre très propres et spacieuses avec climatisation individuelles Situé juste à quelques pas du parc Je recommande Il mériterait un cinquième etoile	Vallet, France	bubble_50	no
Hôtel excellent, mais repas trop gastronomiques.	J'ai séjourner 2 jours/1 nuit avec l'option Empire State Club. La chambre est magnifique et ça se voit quelle est récente. Beaucoup d'activités proposées, aussi bien pour les plus jeunes que les plus grands. Seul bémol: je pense que les repas ne sont pas adaptés aux enfants ( moi-même, j'ai eu du mal à trouver mon bonheur dans les plats proposés).	Cléguer, France	bubble_40	no
Un chef d'oeuvre malgré les soucis techniques rencontrés	Alors je vais commencer par les sujets épineux, puis finir avec pourquoi j'ai quand même mis la note maximal. J'ai réservé longtemps en avance pour plusieurs nuits, en espérant de tomber sur l'ouverture du land Campus Avangers (je me suis dis peut être en début été il aurait été ouvert). Arrivé à l’hôtel, le 28 juin, à 16h, pour récupérer ma chambre et déposer mes valises. On m'annonce un petit soucis avec ma chambre, qu'elle n'était pas encore prête et si je pouvais revenir dans une petite heure. J'ai accepté et on m'a proposé de garder mes bagages à la bagagerie de l’hôtel.  1h30 plus tard je suis de retour, pour l'avancé du problème, toujours pas résolu, on me demande de patienter encore une petite demi heure... J'ai voulu récupérer un vêtement dans mon bagage, on me l'a…	Auvergne-Rhône-Alpes, France	bubble_50	no
Super héros	Quel bel hôtel très bien restauré. Notre petit garçon a eu des étoiles pleins les yeux en y rentrant.  Les chambres sont magnifiques. Le petit dej très copieux. Le personnels est adorable et à l’écoute. L’accès au parc à pied se fait facilement.	Onesse-et-Laharie, France	bubble_50	yes
Chambre supérieure	Nous avons reçu un excellent accueil, très bien dirigé et encadré par l’équipe de l’hôtel. Nous ne connaissions pas et nous reviendrons. La chambre est propre et parfaitement équipée ! De quoi profiter d’un très beau séjour à Disney	None	bubble_50	no
Très bel endroit, expérience héroïque incroyable pour les petits 	Très bel hôtel, des cast member très agréables, une super héros station pour une immersion dans l'aventure encore plus grand! Les petits comme les grands ont adorés!  Le bar est très beau le passage des héros qui font des petits coucous ont été appréciés, tout comme les cocktails qui étaient très bons. Les chambres supers confortables,  Par contre un peu embêtée par la profondeur de la piscine ... un peu trop profonde pour les petits! 	Lyon, France	bubble_50	yes
Hotel thématique particulièrement réussi	Superbe décor, chambre confortables mais pas vraiment adpatée pour les familles avec jeunes enfants.. Un coin séparé aurait été préférable. Mention spécial pour le bar très sympa.  Choix d'hotel judicieux pour visiter le parc durant 2/3 jours mais pas plus	Boston, Massachusetts	bubble_40	no
Très bien	L hotel est très beau  Le personnel est très attentif et souriant. Les équipements sont beaux Les restaurants sont bons particulièrement celui qui en buffet. Le pdj est vraiment très bon. Le prix reste quand même très élevé…mais bon vous êtes à Disney….	Martinique	bubble_40	no
Beau séjour mais un peu décevant	"1ère fois pour moi à Disney pour mes 40 ans et je suis quelque peu déçue que ce soit du parc ou de l'hôtel. Très bel hôtel, très belle chambre, cadre intérieur et extérieur très agréable mais je m'attendais à un peu plus de ""Marvel"". Personnel très gentil et accueil parfait. Petit déjeuner très bien, beaucoup de choix. Nous avons également diner au Manhattan et nous avons beaucoup apprécié le repas.  Par contre sur un séjour de 3 jours 2 nuits. 1 ascenseur en panne peu après notre arrivée et toujours pas réparé à notre départ! Idem pour le gel douche, pot de gel douche vite à notre arrivée et toujours vide à notre départ, heureusement que j'avais le miens! Pour un hôtel de ce standing, on s'attend quand même à mieux."	Liège, Belgique	bubble_30	no
The place to be	Clairement si vous êtes fan de Marvel et que vous avez les moyens, il faut y aller ! La piscine et la salle de sport sont parfaites. Les décorations sont juste incroyables. Que ce sois dans les chambres ou dans l’hôtel. Les services sont très bien et le personnel est irréprochable. Au niveau de la chambre tout est bien. Le petit déjeuner est juste parfait. L’hôtel est a 2 minutes de disney village. Au niveau du parking il y a largement de quoi faire.	Nantes, France	bubble_50	no
Parfait à quelques détails près	L hôtel est superbe , l esthétique est hyper soignée et le thème décliné avec une grande élégance .  Le petit déjeuner est de grande qualité dans un superbe restaurant.  On a apprécié l espace Photo Booth et la rencontre avec spider man !! La piscine est sublime, bien chauffée et les horaires très larges ( le matin j étais seule dedans ! Le luxe !) Je ne mets pas 5 * car j ai regretté la literie en 2 lits double : faire dormir des enfants dans le même lit à été une épreuve , on a fini par les séparer et dormir avec eux donc on a mal dormi .. et quand on va a Disney on a besoin de sommeil .. On a eu des problèmes de carte démagnétisée et on a du faire plusieurs fois des aller retour avec la réception ( a minuit on s en serait passe) Et c est dommage d avoir mis des Wc dans la…	Paris, France	bubble_40	yes
Très chouette !!!!	Séjour à l'hôtel NY -The art of Marvel durant le we de Pentecôte.  L'hôtel a été très bien rénové.  Service de qualité, très jolies chambres.  Un accueil enthousiaste et bienveillant.    Un séjour magique !!!	Habay-la-Neuve, Belgique	bubble_50	yes
Très bel hôtel	Hôtel rethématisé MARVEL, tout simplement magnifique, très belle réception, très belle chambre, des fresques magnifiques à chaque étage. Chambre décorée avec gout. Literie impeccable. Salle de bains rien à dire, gel douche shampoing et après shampoing disponible. Machine à café, bouteille d'eau dans la chambre. Très bon séjour.	Boucau, France	bubble_50	no
Marvel...lous	Un voyage dans le monde de Disney et Marvel, pour le plus grand plaisir des petits et... des grands ! Un service pour les Suites de qualité et un personnel toujours agréable et souriant ... Seul bémol, une seule bouteille d'eau par personne pour 3 nuits.... un peu léger, mais grâce à la gentillesse de l'intendante nous avons obtenu des bouteilles supplémentaires 	None	bubble_50	no
La magie de Disney	Très bel hôtel qui nous met rapidement dans l'ambiance de Disney et du monde Marvel. De la réception à la chambre, c'est un enchantement. La proximité du parc est agréable. Le personnel de la réception ainsi que des restaurants et de la boutique sont exceptionnels! Merci au personnel de la super héros station d'avoir partagé le secret de Docteur Strange !  Quelques bémols  que l'on ne devrait cependant pas retrouver dans un établissement 4 étoiles: -la propreté de la piscine ( serviettes au sol non ramassées par les casts, traces suspectes sur les portes des vestiaires...) et l'accueil un peu froid  -la propreté des chambres : beaucoup de poussières sous le lit et dans l'armoire, effets personnels des anciens occupants retrouvés.  - très mauvaise expérience à la conciergerie :…	None	bubble_40	no
Un séjour magique 	Nous avons séjourner 2 nuits dans l'hôtel est vraiement paq déçu   Accueil très très sympa ! Le personnels est vraiment aux petits soins.  Les valises nous ont était déposer en chambre directement. ( Chambre Standard ) et sans supplément   Nous avons passer 2 excellentes nuits ( literie au top du top ) les petites attention comme dans la plupart des hôtels disney fait toujours plaisirs ( eau , café, thé)  Un frigo est présent dans la chambre   Nous avons également tester le restaurant buffet à volonté et vraiment pour tout les goûts  3 buffets différents ( americain, italien et chinois)   Petit déjeuner le matin également avec beaucoup de choix   Je garde un très bon souvenir de ce séjour et nous reviendrons tres certainement 	La Baume-de-Transit, France	bubble_50	yes
Hôtel récement rénové	"Ancien hôtel New York, récemment rénové sur le thème Marvel, en plein coeur de Disneyland.  Chambres d'excellente qualité, spacieuses, très bien équipées. La vue sur le lac est magnifique au réveil! Plusieurs restaurants / bars disponibles sur place. Service efficace même si un peu ""sur-fait"".  Seul point négatif : l'espace petit-déjeuner : une ruche, bondée de monde, trop bruyante. L'aspect cantine abîme le reste de l'expérience."	Arras, France	bubble_40	no
Séjour 1 nuit	Très bel hôtel. Le personnel est agréable et a l’écoute. Vraiment pas loin du parc à pied. C’était un premier séjour Disney et honnêtement aucun regret. Le petit déjeuner est à volonté et très varié, il y en a pour tout les goûts. Possibilité de déposer vos bagages avant même d’aller au parc et que la chambre soit disponible. Dès que ce sera le cas ils les mettront directement dans la chambre. Je recommande cet hôtel	None	bubble_40	yes
Merci à tous, nous reviendrons.	Nous avons réservé une chambre à la dernière minute, et nous n'avons pas été déçus ! De la chambre au restaurant, ainsi que le petit-déjeuner en buffet, les décors et couloirs remplis de dessins ou planches de BD et d'explications, le personnel aimable et compétent, l'espace extérieur devant l'hôtel, la proximité du parc, tout était parfait. À refaire !	Asnieres-sur-Seine, France	bubble_50	no
Marvel 	Super hôtel magnifique l univers marvel Super grandes chambres j'adore et super avec une grande tv et de beau restaurants original et belle boutique l univers marvel c est superbe grand halles gigantesque d'hôtels magnifique j'adore il y a de tout 	France	bubble_50	no
Un très bel hôtel cependant prétentieux au regard des prestations réelles 	Lorsqu'on arrive l'hôtel impressionne par la déco et la mise en scène. Cependant au regard des prix pratiqués il y a trop de choses qui ne vont pas. Dans les chambres, les dysfonctionnements sont nombreux avec sur 2 deux chambres un WC qui fuit sans arrêt, un pommeau de douche qui tourne sur lui même lorsqu'on allume l'eau (!), un robinet de lavabo qui délivre un filet d'eau... Et que dire de la bouteille d'eau fournie une seule fois pour 5 jours ! Disney chez Accor ils la remplacent tous les jours au novotel... Au niveau des repas c'est la catastrophe : 135€ de petit déjeuner à 5 chaque jour pour le niveau d'un Ibis Style.  Dîner buffet à l'hôtel pour 230€ à 5 pour une nourriture équivalente à un flunch à peine amélioré. Aux 2 bars ce n'est pas beaucoup mieux. Le premier…	Bordeaux, France	bubble_30	no
